"Source Name",URL,"Date Accessed",Name,Value,"Program Name",Domain,"Data Source"
cookies.sqlite,www.toysrus.com,"2009-11-16 21:04:18 EET",ClrOSSID,1258398258131-43433,"FireFox Analyzer",toysrus.com,jo-2009-11-16.E01
cookies.sqlite,www.toysrus.com,"2009-11-16 21:04:18 EET",ClrSCD,1258398258132,"FireFox Analyzer",toysrus.com,jo-2009-11-16.E01
cookies.sqlite,.toysrus.com,"2009-11-16 21:04:25 EET",s_vi,"[CS]v1|2580D11105010E74-40000115805875E5[CE]","FireFox Analyzer",toysrus.com,jo-2009-11-16.E01
cookies.sqlite,.revsci.net,"2009-11-17 02:07:23 EET",rsi_us_1000000,"pUMd5U+g/xMULsTCuemGbZoqtGMjbzSzY1OYQHSw9bNiAgcdTtStEenUjNvg1McX7XQGcbhvUsZr2/wICfep8r8+Z1kpCTaZsPfPDEemzbw9uFojYn0w56y89LftCN6g0g1nGIQWg/b7KCsS6tt0+6GaNKlfw/aq2a3cKrhqIhzLISqgFLvqqlhOn9c1yzNn9awwek0XDKWYToo/y7eNXtddBKVfPd/cCaRhkLS35jaMH3y31qFNCy5zGoACdIYLYCVwWoDiKwyOoIqn9SydjX2Z2tHwFW7OHRdgG+fPNgDoozAhokTHCNw85Eybp2ZfWtOdiXFLvKACZrpZWzvqtmELIPRBjat7AoImHEeZG41Kt29drIQXjmL2YPrvkxAM105etjBNdcbqF2VSRT/LHRRPOR7gy1C3chS9lRVMP4Pi943Ln9cAlg2UwKhRJs8zHNap//XSwvWgfQPen8pKpboBDDbdkuJEoeaXXCjzwsb75x+cjeESvyToWxn+wqv1cGNycEtqJTSQm20xL9ogU3m93B58V0gcbRTOYOydOUQiYj6KtmJM8llIej80/9LzT+f4VrEkyDpF2QOceh1hQdcQayNlJLc6dVX9v1gYDpfnTc0e8+FakhuvtULLPJgijtqdGNaZcp3HrhyQlfC2/XBuF684oN/hw7AWyfePI0+aso8QwrzeD+4HAW/Kyiqg4rUq7HqMowLKMtCLdu40oYcwTkZHDFYxYZ8XqGPFyL4hRro=","FireFox Analyzer",revsci.net,jo-2009-11-16.E01
cookies.sqlite,.leapfrog.com,"2009-11-16 21:04:44 EET",__utma,"30052002.533058515.1258398285.1258398285.1258398285.1","FireFox Analyzer",leapfrog.com,jo-2009-11-16.E01
cookies.sqlite,.leapfrog.com,"2009-11-16 21:04:44 EET",__utmb,30052002.1.10.1258398285,"FireFox Analyzer",leapfrog.com,jo-2009-11-16.E01
cookies.sqlite,.leapfrog.com,"2009-11-16 21:04:44 EET",__utmz,"30052002.1258398285.1.1.utmcsr=google|utmccn=(organic)|utmcmd=organic|utmctr=leapfrog","FireFox Analyzer",leapfrog.com,jo-2009-11-16.E01
cookies.sqlite,.tumri.net,"2009-11-16 21:05:52 EET",t_rt,"H4sIAAAAAAAAAGNgAAHupwwMh49zcXEBAMl2NMwPAAAA","FireFox Analyzer",tumri.net,jo-2009-11-16.E01
cookies.sqlite,secure.leapfrog.com,"2009-11-16 21:04:48 EET",cookieID,79702363,"FireFox Analyzer",leapfrog.com,jo-2009-11-16.E01
cookies.sqlite,.sfgate.com,"2009-11-16 21:31:46 EET",Apache,"205.155.65.103.1258398285379919","FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,.overture.com,"2009-11-16 21:31:35 EET",BX,"5f2f08l5g38if&b=3&s=vc","FireFox Analyzer",overture.com,jo-2009-11-16.E01
cookies.sqlite,.overture.com,"2009-11-16 21:31:52 EET",UserData,"02u3hs9yoaLQsFTjBpsXc2dHVwMTSyMHMwcDFXNU%2bLSi4sTU1JNbEBACNDNxNzV3NHJwsAMzBWFg0=","FireFox Analyzer",overture.com,jo-2009-11-16.E01
cookies.sqlite,.quantserve.com,"2009-11-16 23:02:51 EET",mc,"4b01a250-260d4-ced54-fb921","FireFox Analyzer",quantserve.com,jo-2009-11-16.E01
cookies.sqlite,.yahoo.com,"2009-11-16 23:02:53 EET",B,"81gvtt55g38ig&b=3&s=8l","FireFox Analyzer",yahoo.com,jo-2009-11-16.E01
cookies.sqlite,.yieldmanager.net,"2009-11-16 21:31:34 EET",BX,"81gvtt55g38ig&b=4&s=ve&t=319","FireFox Analyzer",yieldmanager.net,jo-2009-11-16.E01
cookies.sqlite,q1.checkm8.com,"2009-11-16 21:28:22 EET",cm8dccp,ProbeCookiesSupport,"FireFox Analyzer",checkm8.com,jo-2009-11-16.E01
cookies.sqlite,.sfgate.com,"2009-11-16 21:31:46 EET",s_vi,"[CS]v1|2580D12885011F90-6000010A60578C9E[CE]","FireFox Analyzer",sfgate.com,jo-2009-11-16.E01
cookies.sqlite,q1.checkm8.com,"2009-11-16 21:28:22 EET",dt,"93,20091116,OS=WINXP&WM=WM6&RES=RS2&JE=1&UL=en&CE=1","FireFox Analyzer",checkm8.com,jo-2009-11-16.E01
cookies.sqlite,q1.checkm8.com,"2009-11-16 21:28:22 EET",C,oL2SO9vs9661ica,"FireFox Analyzer",checkm8.com,jo-2009-11-16.E01
cookies.sqlite,q1.checkm8.com,"2009-11-16 21:28:22 EET",O,eL2SO9vhgMMSg8WmVBPbBn,"FireFox Analyzer",checkm8.com,jo-2009-11-16.E01
